"","spScName"
"215","Aluterus monoceros"
"216","Aluterus schoepfii"
"217","Aluterus scriptus"
"218","Amadina erythrocephala"
"219","Amadina fasciata"
"220","Amandava subflava"
"221","Amanoa strobilacea"
"222","Amauris niavius"
"223","Amaurornis marginalis"
"224","Amblygonocarpus andongensis"
"225","Amblyodipsas polylepis"
"226","Amblyodipsas ventrimaculata"
"227","Amblyospiza albifrons"
"228","Ambrosia maritima"
"229","Amietia angolensis"
"230","Ammannia aspera"
"231","Ammannia auriculata"
"232","Ammannia baccifera"
"233","Ammannia crassicaulis"
"234","Ammannia erecta"
"235","Ammannia involucrata"
"236","Ammannia prieuriana"
"237","Ammannia senegalensis"
"238","Ammomanopsis grayi"
"239","Amnirana albolabris"
"240","Amnirana darlingi"
"241","Amnirana lemairei"
"242","Amnirana parkeriana"
"243","Ampelocissus dekindtiana"
"244","Amphilius lentiginosus"
"245","Amphilius uranoscopus"
"246","Amphimas ferrugineus"
"247","Anabathmis reichenbachii"
"248","Anabibia thoracica"
"249","Anagallis elegantula"
"250","Anagallis kochii"
"251","Anaplectes rubriceps"
"252","Anas capensis"
"253","Anas erythrorhyncha"
"254","Anas sparsa"
"255","Anastomus lamelligerus"
"256","Anas undulata"
"257","Anax congoliath"
"258","Anax ephippiger"
"259","Anax imperator"
"260","Anax speratus"
"261","Anax tristis"
"262","Ancistrocarpus densispinosus"
"263","Ancistroteuthis lichtensteini"
"264","Andronymus caesar"
"265","Andronymus caesar ssp. philander"
"266","Andronymus neander"
"267","Andronymus neander ssp. neander"
"268","Andropogon africanus"
"269","Aneilema aequinoctiale"
"270","Angiola lineata"
"271","Angraecum distichum"
"272","Angylocalyx oligophyllus"
"273","Angylocalyx pynaertii"
"274","Anhinga rufa"
"275","Annickia affinis"
"276","Annickia pilosa"
"277","Anomalospiza imberbis"
"278","Anomalurus beecrofti"
"279","Anomalurus derbianus"
"280","Anoplogaster cornuta"
"281","Anous stolidus"
"282","Ansellia africana"
"283","Antennarius pardalis"
"284","Antennarius striatus"
"285","Anthene amarah"
"286","Anthene amarah ssp. amarah"
"287","Anthene crawshayi"
"288","Anthene definita"
"289","Anthene definita ssp. definita"
"290","Anthene larydas"
"291","Anthene liodes"
"292","Anthene liodes ssp. bihe"
"293","Anthene livida"
"294","Anthene livida ssp. livida"
"295","Anthene princeps"
"296","Anthene talboti"
"297","Anthias anthias"
"298","Anthocleista nobilis"
"299","Anthocleista schweinfurthii"
"300","Anthocleista vogelii"
"301","Anthonotha fragrans"
"302","Anthonotha macrophylla"
"303","Anthonotha pynaertii"
"304","Anthoscopus caroli"
"305","Anthoscopus minutus"
"306","Anthostema aubryanum"
"307","Anthreptes anchietae"
"308","Anthreptes aurantius"
"309","Anthreptes gabonicus"
"310","Anthreptes longuemarei"
"311","Anthreptes seimundi"
"312","Anthreptes tephrolaemus"
"313","Anthus brachyurus"
"314","Anthus caffer"
"315","Anthus cinnamomeus"
"316","Anthus hoeschi"
"317","Anthus leucophrys"
"318","Anthus lineiventris"
"319","Anthus nyassae"
"320","Anthus pallidiventris"
"321","Anthus richardi"
"322","Anthus similis"
"323","Anthus trivialis"
"324","Anthus vaalensis"
"325","Antiaris toxicaria"
"326","Antidesma laciniatum"
"327","Antidesma membranaceum"
"328","Antidesma venosum"
"329","Antidorcas marsupialis"
"330","Antigonia capros"
"331","Antimora rostrata"
"332","Antrocaryon nannanii"
"333","Aonyx capensis"
"334","Aonyx congicus"
"335","Aoranthe cladantha"
"336","Apagesoma delosommatus"
