"","Species"
"220","Phrynobatrachus phyllophilus"
"221","Phrynobatrachus pintoi"
"222","Phrynobatrachus steindachneri"
"223","Phrynobatrachus villiersi"
"224","Phyllastrephus poliocephalus"
"225","Physeter macrocephalus"
"226","Picathartes gymnocephalus"
"227","Picathartes oreas"
"228","Ploceus bannermani"
"229","Polemaetus bellicosus"
"230","Poliolais lopezi"
"231","Potamalpheops haugi"
"232","Potamonautes reidi"
"233","Potamonautes triangulus"
"234","Potamonemus sachsi"
"235","Praomys obscurus"
"236","Prionace glauca"
"237","Pristis pectinata"
"238","Pristis pristis"
"239","Pseudocarcharias kamoharai"
"240","Psittacus erithacus"
"241","Psittacus timneh"
"242","Pterodroma deserta"
"243","Pterodroma feae"
"244","Ptychadena superciliaris"
"245","Raja clavata"
"246","Raja undulata"
"247","Rhincodon typus"
"248","Rhinobatos albomaculatus"
"249","Rhinobatos irvinei"
"250","Rhinobatos rhinobatos"
"251","Rhinolophus guineensis"
"252","Rhinolophus hillorum"
"253","Rhinolophus maclaudi"
"254","Rhinolophus ziama"
"255","Rhinoptera marginata"
"256","Rhynchobatus luebberti"
"257","Rostroraja alba"
"258","Rynchops flavirostris"
"259","Sagittarius serpentarius"
"260","Scotonycteris ophiodon"
"261","Scotopelia ussheri"
"262","Smutsia gigantea"
"263","Sousa teuszii"
"264","Sphyrna lewini"
"265","Sphyrna mokarran"
"266","Sphyrna zygaena"
"267","Squalus acanthias"
"268","Squatina aculeata"
"269","Squatina oculata"
"270","Stephanoaetus coronatus"
"271","Sternula balaenarum"
"272","Sylvisorex camerunensis"
"273","Terathopius ecaudatus"
"274","Tetraodon pustulatus"
"275","Thunnus alalunga"
"276","Thunnus albacares"
"277","Thunnus obesus"
"278","Thunnus thynnus"
"279","Torgos tracheliotos"
"280","Tragelaphus eurycerus"
"281","Trichechus senegalensis"
"282","Trigonoceps occipitalis"
"283","Wolterstorffina parvipalmata"
