"","spScName"
"220","Ardea brachyrhyncha"
"221","Ardea cinerea"
"222","Ardea goliath"
"223","Ardea melanocephala"
"224","Ardea purpurea"
"225","Ardenna grisea"
"226","Ardeola ralloides"
"227","Arenaria interpres"
"228","Argonauta argo"
"229","Argonauta hians"
"230","Argyropelecus aculeatus"
"231","Argyropelecus affinis"
"232","Argyropelecus gigas"
"233","Argyropelecus hemigymnus"
"234","Argyropelecus olfersii"
"235","Argyropelecus sladeni"
"236","Argyrosomus regius"
"237","Ariomma bondi"
"238","Ariomma melanum"
"239","Ariosoma balearicum"
"240","Aristostomias grimaldii"
"241","Aristostomias lunifer"
"242","Aristostomias xenostoma"
"243","Arius gigas"
"244","Arnoglossus capensis"
"245","Arnoglossus imperialis"
"246","Arnoglossus laterna"
"247","Arthroleptis poecilonotus"
"248","Arvicanthis rufinus"
"249","Ascolepis capensis"
"250","Asio capensis"
"251","Aspatharia chaiziana"
"252","Aspatharia dahomeyensis"
"253","Asquamiceps caeruleus"
"254","Asquamiceps hjorti"
"255","Astrangia poculata"
"256","Astronesthes atlanticus"
"257","Astronesthes caulophorus"
"258","Astronesthes haplophos"
"259","Astronesthes macropogon"
"260","Astronesthes micropogon"
"261","Astronesthes niger"
"262","Astronesthes richardsoni"
"263","Astronesthes zharovi"
"264","Atelerix albiventris"
"265","Atherurus africanus"
"266","Atilax paludinosus"
"267","Atimastillas flavicollis"
"268","Atractaspis aterrima"
"269","Atractaspis dahomeyensis"
"270","Auchenoglanis occidentalis"
"271","Aulopus cadenati"
"272","Aulostomus strigosus"
"273","Austrorossia mastigophora"
"274","Aviceda cuculoides"
"275","Avicennia germinans"
"276","Avocettina infans"
"277","Awaous lateristriga"
"278","Axiocerses amanga"
"279","Aythya nyroca"
"280","Azanus jesous"
"281","Azanus mirza"
"282","Azanus moriqua"
"283","Azanus natalensis"
"284","Azanus ubaldus"
"285","Bacopa crenata"
"286","Bacopa floribunda"
"287","Baeopogon indicator"
"288","Bagrus bajad"
"289","Bagrus docmak"
"290","Bajacalifornia calcarata"
"291","Bajacalifornia megalops"
"292","Balaenoptera edeni"
"293","Balanites aegyptiaca"
"294","Balanites wilsoniana"
"295","Balearica pavonina"
"296","Balistes capriscus"
"297","Balistes punctatus"
"298","Balistes vetula"
"299","Bamanophis dorri"
"300","Baphia dewildeana"
"301","Baphia nitida"
"302","Baphia pubescens"
"303","Barbantus curvifrons"
"304","Barboides gracilis"
"305","Barbourisia rufa"
"306","Barteria fistulosa"
"307","Barteria nigritana"
"308","Bascanichthys ceciliae"
"309","Bassozetus compressus"
"310","Bassozetus levistomatus"
"311","Bassozetus normalis"
"312","Bathophilus brevis"
"313","Bathophilus digitatus"
"314","Bathophilus nigerrimus"
"315","Bathophilus schizochirus"
"316","Bathycongrus bertini"
"317","Bathygadus favosus"
"318","Bathygadus macrops"
"319","Bathygadus melanobranchus"
"320","Bathygobius casamancus"
"321","Bathygobius soporator"
"322","Bathylaco nigricans"
"323","Bathylagoides argyrogaster"
"324","Bathymicrops regis"
"325","Bathyonus laticeps"
"326","Bathypterois atricolor"
"327","Bathypterois grallator"
"328","Bathypterois phenax"
"329","Bathypterois quadrifilis"
"330","Bathyraja hesperafricana"
"331","Bathysaurus mollis"
"332","Bathysolea polli"
"333","Bathysolea profundicola"
"334","Bathyteuthis abyssicola"
"335","Bathytoshia lata"
"336","Bathytroctes macrolepis"
"337","Bathytroctes microlepis"
"338","Bathytyphlops sewelli"
"339","Bathyuroconger vicinus"
"340","Batis senegalensis"
"341","Batrachoides liberiensis"
"342","Bauhinia rufescens"
"343","Beilschmiedia mannii"
"344","Belenois aurota"
"345","Belenois calypso"
"346","Belenois creona"
"347","Belenois gidica"
"348","Belonophora coffeoides"
"349","Bembrops greyi"
"350","Bembrops heterurus"
"351","Benthosema suborbitale"
"352","Bergia capensis"
"353","Berlinia grandiflora"
"354","Bertiera racemosa"
"355","Beryx splendens"
"356","Bias musicus"
"357","Bicyclus milyas"
"358","Bicyclus safitza"
"359","Bicyclus safitza ssp. safitza"
"360","Biomphalaria camerunensis"
"361","Bitis arietans"
"362","Bitis gabonica"
"363","Bixa orellana"
"364","Bleda canicapillus"
"365","Bleda syndactylus"
"366","Blennius normani"
"367","Blighia sapida"
"368","Blighia unijugata"
"369","Blighia welwitschii"
"370","Boaedon fuliginosus"
"371","Boaedon lineatus"
"372","Boaedon virgatus"
"373","Bobgunnia madagascariensis"
"374","Bocagia minuta"
"375","Bodianus speciosus"
"376","Bolbitis heudelotii"
"377","Bolinichthys indicus"
"378","Bolinichthys photothorax"
"379","Bolitaena pygmaea"
"380","Bombax buonopozense"
"381","Bombax costatum"
"382","Bonapartia pedaliota"
"383","Boops boops"
"384","Borassus aethiopum"
"385","Borassus akeassii"
"386","Borbo borbonica"
"387","Borbo borbonica ssp. borbonica"
"388","Borbo fallax"
"389","Borbo fatuellus"
"390","Borbo fatuellus ssp. fatuellus"
"391","Borbo gemella"
"392","Borbo micans"
"393","Borostomias elucens"
"394","Borostomias mononema"
"395","Bostrychia hagedash"
"396","Bostrychus africanus"
"397","Bothus lunatus"
"398","Bothus podas"
"399","Brachiaria mutica"
"400","Brachydeuterus auritus"
"401","Brachythemis impartita"
"402","Brachythemis lacustris"
"403","Brachythemis leucosticta"
"404","Bradinopyga strachani"
"405","Bradypterus centralis"
"406","Brama brama"
"407","Bregmaceros atlanticus"
"408","Bregmaceros nectabanus"
"409","Breonadia salicina"
"410","Brevimyrus niger"
"411","Bridelia ferruginea"
"412","Bridelia grandis"
"413","Bridelia micrantha"
"414","Bridelia scleroneura"
"415","Brienomyrus brachyistius"
"416","Brillantaisia lamium"
"417","Broadleysaurus major"
"418","Brotula barbata"
"419","Brycinus imberi"
"420","Brycinus macrolepidotus"
"421","Brycinus nurse"
"422","Bryconalestes longipinnis"
"423","Bubalornis albirostris"
"424","Bubo cinerascens"
"425","Bubo lacteus"
"426","Bubulcus ibis"
"427","Buchnera capitata"
"428","Bucorvus abyssinicus"
"429","Bufoceratias wedli"
"430","Bulbostylis briziformis"
"431","Bulbostylis hispidula"
"432","Bulinus forskalii"
"433","Bulinus globosus"
"434","Bulinus senegalensis"
"435","Bulinus truncatus"
"436","Buphagus africanus"
"437","Burhinus capensis"
"438","Burhinus senegalensis"
"439","Burkea africana"
"440","Burnatia enneandra"
"441","Butastur rufipennis"
"442","Buteo auguralis"
"443","Butomopsis latifolia"
"444","Butorides striata"
"445","Byblia anvatara"
"446","Byblia ilithyia"
"447","Bycanistes albotibialis"
"448","Bycanistes fistulator"
"449","Caccobius ferrugineus"
"450","Cacyreus lingeus"
"451","Cacyreus virilis"
"452","Cadaba farinosa"
"453","Calabaria reinhardtii"
"454","Calamus deerratus"
"455","Caldesia parnassifolia"
"456","Calherodius leuconotus"
"457","Calidris alba"
"458","Calidris alpina"
"459","Calidris canutus"
"460","Calidris ferruginea"
"461","Calidris minuta"
"462","Calidris pugnax"
"463","Calidris subruficollis"
"464","Caloncoba echinata"
"465","Caloncoba gilgiana"
"466","Calonectris borealis"
"467","Calonectris diomedea"
"468","Camaroptera brachyura"
"469","Camaroptera chloronota"
"470","Camaroptera superciliaris"
"471","Campephaga phoenicea"
"472","Campephaga quiscalina"
"473","Campethera abingoni"
"474","Campethera maculosa"
"475","Campethera nivosa"
"476","Campethera punctuligera"
"477","Campylospermum flavum"
"478","Canavalia rosea"
"479","Canis adustus"
"480","Cantherhines pullus"
"481","Canthidermis maculata"
"482","Caperonia fistulosa"
"483","Caperonia serrata"
"484","Caprimulgus climacurus"
"485","Caprimulgus inornatus"
"486","Caprimulgus longipennis"
"487","Caprimulgus pectoralis"
"488","Caprimulgus tristigma"
"489","Caprona pillaana"
"490","Caracal caracal"
"491","Caranx bartholomaei"
"492","Caranx crysos"
"493","Caranx fischeri"
"494","Caranx hippos"
"495","Caranx latus"
"496","Caranx lugubris"
"497","Caranx rhonchus"
"498","Caranx senegallus"
"499","Carapa microcarpa"
"500","Carapus acus"
"501","Carcharhinus brevipinna"
"502","Carcharhinus falciformis"
"503","Carcharhinus leucas"
"504","Carcharhinus limbatus"
"505","Carcharhinus longimanus"
"506","Carcharhinus plumbeus"
"507","Carcharhinus signatus"
"508","Carcharhinus signatus Eastern Atlantic subpopulation"
"509","Carcharias taurus"
"510","Carcharodon carcharias"
"511","Cardiospermum halicacabum"
"512","Caridina togoensis"
"513","Carissa spinarum"
"514","Carlarius heudelotii"
"515","Carlarius latiscutatus"
"516","Carlarius parkii"
"517","Carpolobia lutea"
"518","Cassia sieberiana"
"519","Cassipourea barteri"
"520","Catacroptera cloanthe"
"521","Cataetyx bruuni"
"522","Cataetyx laticeps"
"523","Catopsilia florella"
"524","Caulophryne jordani"
"525","Causus maculatus"
"526","Ceblepyris pectoralis"
"527","Cecropis abyssinica"
"528","Cecropis daurica"
"529","Cecropis semirufa"
"530","Cecropis senegalensis"
"531","Ceiba pentandra"
"532","Celosia argentea"
"533","Celtis mildbraedii"
"534","Celtis philippensis"
"535","Celtis toka"
"536","Celtis zenkeri"
"537","Cenchrus macrourus"
"538","Cenchrus pedicellatus"
"539","Cenchrus polystachios"
"540","Cenchrus purpureus"
"541","Centipeda minima"
"542","Centropus grillii"
"543","Centropus leucogaster"
"544","Centropus monachus"
"545","Centropus senegalensis"
"546","Cephalopholis nigri"
"547","Cephalopholis taeniops"
